# Phonon dispersion from ShengBTE
# Path: G -> K -> M -> G
# Tick positions:
#       G  d = 0.000000
#       K  d = 1.710820
#       M  d = 2.566230
#       G  d = 4.047844
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        0.885500         0.172529         0.172529         0.000000         6.365071        18.672880        24.213533        26.247577        44.111706        47.472982
        0.894097         0.174204         0.174204         0.000000         6.474170        18.836109        24.153026        26.429398        44.064799        47.409831
        0.902694         0.175879         0.175879         0.000000         6.583172        18.999522        24.092209        26.609795        44.017818        47.346316
        0.911291         0.177554         0.177554         0.000000         6.693082        19.161548        24.029926        26.788065        43.971468        47.280776
        0.919888         0.179230         0.179229         0.000000         6.802956        19.323618        23.967242        26.964783        43.925096        47.214672
        0.928485         0.180905         0.180904         0.000000         6.913270        19.484937        23.903571        27.139736        43.879059        47.147196
        0.937082         0.182580         0.182579         0.000000         7.023929        19.645620        23.839014        27.312899        43.833287        47.078423
        0.945679         0.184255         0.184255         0.000000         7.134605        19.806184        23.773957        27.484450        43.787548        47.008880
        0.954277         0.185930         0.185930         0.000000         7.245964        19.965449        23.707522        27.654203        43.742370        46.937364
        0.962874         0.187605         0.187605         0.000000         7.357176        20.124810        23.640781        27.822285        43.697090        46.865245
        0.971471         0.189280         0.189280         0.000000         7.468935        20.283020        23.572767        27.988759        43.652313        46.791290
        0.980068         0.190955         0.190955         0.000000         7.580746        20.440901        23.504151        28.153502        43.607600        46.716275
        0.988665         0.192630         0.192630         0.000000         7.692716        20.598245        23.434754        28.316638        43.563074        46.640001
        0.997262         0.194305         0.194305         0.000000         7.805045        20.754630        23.364267        28.478209        43.518922        46.562033
        1.005859         0.195980         0.195980         0.000000         7.917195        20.911017        23.293479        28.637933        43.474616        46.483291
        1.014456         0.197655         0.197655         0.000000         8.029949        21.065919        23.221144        28.796488        43.431015        46.402342
        1.023053         0.199330         0.199330         0.000000         8.142519        21.220754        23.148498        28.953123        43.387235        46.320523
        1.031650         0.201005         0.201005         0.000000         8.255338        21.374690        23.074802        29.108425        43.343829        46.237047
        1.040247         0.202680         0.202680         0.000000         8.368246        21.527970        23.000312        29.262137        43.300578        46.152125
        1.048845         0.204355         0.204355         0.000000         8.481090        21.680869        22.925268        29.414116        43.257314        46.066018
        1.057442         0.206030         0.206030         0.000000         8.594256        21.832597        22.848953        29.565054        43.214600        45.977979
        1.066039         0.207705         0.207705         0.000000         8.707197        21.984176        22.772357        29.713927        43.171614        45.888957
        1.074636         0.209380         0.209380         0.000000         8.820429        22.134570        22.694460        29.861955        43.129258        45.798000
        1.083233         0.211055         0.211055         0.000000         8.933532        22.284555        22.616072        30.008133        43.086783        45.705814
        1.091830         0.212730         0.212730         0.000000         9.046645        22.401453        22.569259        30.152927        43.044514        45.612137
        1.100427         0.214405         0.214405         0.000000         9.159830        22.424518        22.614441        30.296525        43.002573        45.516812
        1.109024         0.216080         0.216080         0.000000         9.272782        22.376262        22.730340        30.438056        42.960334        45.420379
        1.117621         0.217755         0.217755         0.000000         9.385970        22.294393        22.877146        30.579162        42.918957        45.321950
        1.126218         0.219431         0.219430         0.000000         9.498883        22.212273        23.023693        30.718089        42.877178        45.222446
        1.134815         0.221106         0.221105         0.000000         9.611831        22.129129        23.169265        30.856106        42.835920        45.121269
        1.143412         0.222781         0.222780         0.000000         9.724650        22.045346        23.314195        30.992586        42.794703        45.018711
        1.152010         0.224456         0.224455         0.000000         9.837291        21.961016        23.458557        31.127414        42.753457        44.914850
        1.160607         0.226131         0.226131         0.000000         9.949934        21.875627        23.601860        31.261489        42.712849        44.809311
        1.169204         0.227806         0.227806         0.000000        10.062270        21.790014        23.744876        31.393373        42.671767        44.702719
        1.177801         0.229481         0.229481         0.000000        10.174613        21.703210        23.886656        31.524824        42.631629        44.594374
        1.186398         0.231156         0.231156         0.000000        10.286674        21.616071        24.028026        31.654325        42.591180        44.484919
        1.194995         0.232831         0.232831         0.000000        10.398562        21.528203        24.168560        31.782617        42.551077        44.374069
        1.203592         0.234506         0.234506         0.000000        10.510265        21.439611        24.308258        31.909731        42.511319        44.261856
        1.212189         0.236181         0.236181         0.000000        10.621653        21.350722        24.447558        32.034889        42.471240        44.148599
        1.220786         0.237856         0.237856         0.000000        10.732916        21.260761        24.585542        32.159591        42.432236        44.033741
        1.229383         0.239531         0.239531         0.000000        10.843818        21.170630        24.723280        32.282159        42.392708        43.917986
        1.237980         0.241206         0.241206         0.000000        10.954500        21.079658        24.859851        32.403901        42.353996        43.800815
        1.246577         0.242881         0.242881         0.000000        11.064859        20.988273        24.995849        32.524048        42.315284        43.682613
        1.255175         0.244556         0.244556         0.000000        11.174886        20.896451        25.131164        32.642661        42.276687        43.563349
        1.263772         0.246231         0.246231         0.000000        11.284617        20.803916        25.265347        32.760337        42.238858        43.442838
        1.272369         0.247906         0.247906         0.000000        11.393951        20.711257        25.399367        32.875952        42.200522        43.321593
        1.280966         0.249581         0.249581         0.000000        11.502962        20.617731        25.531733        32.991018        42.163529        43.198962
        1.289563         0.251256         0.251256         0.000000        11.611563        20.524062        25.663898        33.104149        42.126164        43.075649
        1.298160         0.252931         0.252931         0.000000        11.719764        20.429900        25.794956        33.216083        42.089412        42.951307
        1.306757         0.254606         0.254606         0.000000        11.827546        20.335347        25.925155        33.326682        42.053084        42.826087
        1.315354         0.256281         0.256281         0.000000        11.934890        20.240618        26.054961        33.435529        42.016638        42.700205
        1.323951         0.257956         0.257956         0.000000        12.041766        20.145318        26.183056        33.543558        41.981402        42.573255
        1.332548         0.259632         0.259631         0.000000        12.148190        20.049975        26.311167        33.649641        41.945770        42.445853
        1.341145         0.261307         0.261306         0.000000        12.254091        19.954190        26.437506        33.754793        41.911241        42.317523
        1.349743         0.262982         0.262981         0.000000        12.359505        19.858278        26.563416        33.858317        41.876800        42.188680
        1.358340         0.264657         0.264656         0.000000        12.464391        19.762192        26.688388        33.960415        41.842677        42.059327
        1.366937         0.266332         0.266332         0.000000        12.568707        19.665867        26.811907        34.061376        41.809135        41.929587
        1.375534         0.268007         0.268007         0.000000        12.672537        19.569560        26.935561        34.160462        41.774828        41.800075
        1.384131         0.269682         0.269682         0.000000        12.775667        19.472990        27.056468        34.258882        41.659076        41.752811
        1.392728         0.271357         0.271357         0.000000        12.878298        19.376473        27.177584        34.355450        41.535246        41.713238
        1.401325         0.273032         0.273032         0.000000        12.980258        19.279905        27.296894        34.450916        41.404205        41.681323
        1.409922         0.274707         0.274707         0.000000        13.081602        19.183353        27.415201        34.545018        41.272191        41.650636
        1.418519         0.276382         0.276382         0.000000        13.182356        19.086879        27.532937        34.637579        41.140080        41.620128
        1.427116         0.278057         0.278057         0.000000        13.282325        18.990477        27.648141        34.729292        41.007561        41.590954
        1.435713         0.279732         0.279732         0.000000        13.381776        18.894197        27.763649        34.819200        40.875158        41.561581
        1.444310         0.281407         0.281407         0.000000        13.480350        18.798127        27.876067        34.908420        40.742526        41.533636
        1.452908         0.283082         0.283082         0.000000        13.578332        18.702225        27.988167        34.996066        40.610011        41.505867
        1.461505         0.284757         0.284757         0.000000        13.675561        18.606590        28.098581        35.082572        40.477597        41.478805
        1.470102         0.286432         0.286432         0.000000        13.771988        18.511268        28.206883        35.168089        40.345320        41.452671
        1.478699         0.288107         0.288107         0.000000        13.867853        18.416155        28.315207        35.251937        40.213313        41.426585
        1.487296         0.289782         0.289782         0.000000        13.962635        18.321623        28.419274        35.335483        40.081670        41.402127
        1.495893         0.291457         0.291457         0.000000        14.056901        18.227301        28.523654        35.417279        39.950373        41.377659
        1.504490         0.293132         0.293132         0.000000        14.150175        18.133590        28.624726        35.498479        39.819702        41.354366
        1.513087         0.294807         0.294807         0.000000        14.242717        18.040298        28.724330        35.578501        39.689583        41.331673
        1.521684         0.296482         0.296482         0.000000        14.334520        17.947464        28.822518        35.657327        39.560124        41.309513
        1.530281         0.298158         0.298157         0.000000        14.425246        17.855427        28.916765        35.735762        39.431723        41.288648
        1.538878         0.299833         0.299832         0.000000        14.515499        17.763630        29.011179        35.812497        39.303846        41.267861
        1.547476         0.301508         0.301507         0.000000        14.604405        17.672984        29.100048        35.889334        39.177672        41.248718
        1.556073         0.303183         0.303182         0.000000        14.692782        17.582676        29.188322        35.964708        39.052249        41.229859
        1.564670         0.304858         0.304857         0.000000        14.780131        17.493256        29.273126        36.039500        38.928412        41.212013
        1.573267         0.306533         0.306533         0.000000        14.866531        17.404676        29.354486        36.113701        38.806199        41.195156
