# Phonon dispersion from ShengBTE
# Path: G -> X -> K -> G -> L
# Tick positions:
#       G  d = 0.000000
#       X  d = 1.149293
#       K  d = 2.057889
#       G  d = 3.276898
#       L  d = 4.272215
#       distance               qx               qy               qz     omega_1(THz)     omega_2(THz)     omega_3(THz)     omega_4(THz)     omega_5(THz)     omega_6(THz)
        1.213214        -0.026382         0.491206         0.464824         4.299434         4.348905        12.006754        12.314523        13.714764        13.720445
        1.217780        -0.028266         0.490578         0.462312         4.305188         4.356266        11.994822        12.315131        13.714530        13.720455
        1.222346        -0.030151         0.489950         0.459799         4.311684         4.362411        11.986732        12.312480        13.714362        13.720308
        1.226912        -0.032035         0.489322         0.457286         4.317805         4.371288        11.976067        12.310008        13.714046        13.720487
        1.231478        -0.033920         0.488693         0.454774         4.323448         4.384200        11.958333        12.311032        13.713469        13.721175
        1.236043        -0.035804         0.488065         0.452261         4.330203         4.395605        11.940892        12.312364        13.712905        13.721715
        1.240609        -0.037688         0.487437         0.449749         4.338256         4.405313        11.923742        12.314001        13.712368        13.722097
        1.245175        -0.039573         0.486809         0.447236         4.347793         4.413136        11.906885        12.315940        13.711872        13.722311
        1.249741        -0.041457         0.486181         0.444724         4.358998         4.418884        11.890322        12.318177        13.711428        13.722350
        1.254307        -0.043342         0.485553         0.442211         4.368599         4.430339        11.869525        12.320629        13.710884        13.722735
        1.258872        -0.045226         0.484925         0.439698         4.378869         4.441307        11.851013        12.320831        13.710436        13.722923
        1.263438        -0.047111         0.484296         0.437186         4.389102         4.452676        11.834180        12.319080        13.710012        13.723066
        1.268004        -0.048995         0.483668         0.434673         4.395107         4.473210        11.813134        12.315994        13.709168        13.724325
        1.272570        -0.050879         0.483040         0.432161         4.403281         4.491299        11.792406        12.313214        13.708375        13.725328
        1.277136        -0.052764         0.482412         0.429648         4.413910         4.506655        11.771996        12.310737        13.707653        13.726058
        1.281702        -0.054648         0.481784         0.427136         4.427280         4.518988        11.751905        12.308559        13.707021        13.726498
        1.286267        -0.056533         0.481156         0.424623         4.443676         4.528007        11.732135        12.306676        13.706499        13.726632
        1.290833        -0.058417         0.480528         0.422111         4.463384         4.533424        11.712687        12.305085        13.706109        13.726442
        1.295399        -0.060302         0.479899         0.419598         4.486691         4.534948        11.693562        12.303782        13.705869        13.725913
        1.299965        -0.062186         0.479271         0.417085         4.513883         4.532290        11.674762        12.302764        13.705801        13.725027
        1.304531        -0.064070         0.478643         0.414573         4.517023         4.562340        11.650843        12.296285        13.704625        13.727037
        1.309096        -0.065955         0.478015         0.412060         4.519148         4.594967        11.626181        12.288968        13.703380        13.729267
        1.313662        -0.067839         0.477387         0.409548         4.525616         4.623025        11.601865        12.281964        13.702315        13.731071
        1.318228        -0.069724         0.476759         0.407035         4.536091         4.646844        11.577894        12.275272        13.701420        13.732465
        1.322794        -0.071608         0.476131         0.404523         4.550237         4.666755        11.554266        12.268888        13.700683        13.733464
        1.327360        -0.073492         0.475503         0.402010         4.567720         4.683089        11.530979        12.262811        13.700095        13.734083
        1.331925        -0.075377         0.474874         0.399497         4.588204         4.696175        11.508034        12.257040        13.699646        13.734337
        1.336491        -0.077261         0.474246         0.396985         4.611352         4.706347        11.485427        12.251571        13.699324        13.734241
        1.341057        -0.079146         0.473618         0.394472         4.629742         4.722970        11.461777        12.244372        13.698783        13.735119
        1.345623        -0.081030         0.472990         0.391960         4.643590         4.745625        11.437262        12.235785        13.697967        13.736838
        1.350189        -0.082915         0.472362         0.389447         4.658942         4.766641        11.413040        12.227540        13.697141        13.738304
